,the_geom,name,tel,url,adress1,address2,city,zip,focus,summary
34,"(-73.94401601383748, 40.67450699609931)",Brooklyn Children's Museum,(718) 735-4400,http://www.brooklynkids.org/,145 Brooklyn Avenue,,Brooklyn,11213.0,,
35,"(-73.99240540393131, 40.694802974910445)",Brooklyn Historical Society,(718) 222-4111,http://www.brooklynhistory.org/default/index.html,128 Pierrepont Street,,Brooklyn,11201.0,American and ny history,History and culture of brooklyn
36,"(-73.96358506797661, 40.67108321212629)",Brooklyn Museum,(718) 638-5000,http://www.brooklynmuseum.org/,200 Eastern Parkway,,Brooklyn,11238.0,Encyclopedic,"Collections include american art, egyptian, classical, and ancient near eastern art, feminist, european, and art of the pacific islands"
37,,Brooklyn Navy Yard Center at BLDG 92,,,,,,,American and ny history,"Website, history of the former navy yard, tours, plans for its future, exhibits of local art, photography, history"
38,,Castle Clinton National Monument,,,,,,,American and ny history,"Fort that contains a museum that is administered by the national park service, and is a departure point for visitors to the statue of liberty and ellis island"
39,,Center for Architecture,,,,,,,"Design, decorative arts, architecture","Exhibits of architecture, urban planning, urban design, and environmental planning"
40,,Center for Art and Culture of Bedford-Stuyvesant,,,,,,,Neighborhood art center,"Website, cultural and performing arts center with the skylight gallery for visual art"
41,"(-73.99386877223978, 40.737986764588406)",Center For Jewish History,(212) 294-8301,http://www.cjh.org,15 W. 16th St.,,New York,10011.0,European jewish and jewish-american,Jewish history and culture around the world
42,,Center for Jewish History,,,,,,,,
43,,Chaim Gross Studio Museum,,,,,,,Sculpture,"Operated by the renee and chaim gross foundation, home and studio of sculptor chaim gross"
44,"(-74.00731553374261, 40.74789760206738)",Chelsea Art Museum,(212) 255-0719,http://www.chelseaartmuseum.org/,556 West 22nd Street,,New York,10011.0,,
45,,Children's Cultural Center of Native America,,,,,,,,"Website, located in the church of the intercession"
46,"(-73.97727391968168, 40.78587092106756)",Children's Museum of Manhattan,(212) 721-1234,http://www.cmom.org/,212 West 83rd Street,,New York,10024.0,,
47,"(-73.99883836090484, 40.72074946881006)",Children's Museum of the Arts,(212) 274-0986,http://cmany.org/intro.php?pn=home,182 Lafayette Street,,New York,10012.0,,"International children's art, programs in creating drawings, sculpture, sound art, textiles, and stop-motion animation"
48,,China Institute,,,,,,,Asian and asian-american,"Galleries with exhibits about traditional chinese paintings, calligraphy, chinese folk arts, textiles, and architecture"
49,,Choco-Story New York,,,,,,,Chocolate,"History of chocolate making and consumption, demonstrations, classes. affiliated with jacques torres chocolate"
50,,City Island Nautical Museum,,,,,,,American and ny history,"Operated by the city island historical society, local history, maritime heritage"
51,,City Reliquary,,,,,,,Local history,Memorabilia and artifacts about new york city
52,,Clemente Soto Velez Cultural and Educational Center,,,,,,,"Hispanic, latino and caribbean",Cultivates latino culture and acts as a hub for visual and performing arts on the lower east side
53,"(-73.93173408706043, 40.86492363574811)",Cloisters,(212) 923-3700,http://www.metmuseum.org/cloisters/,99 Margaret Corbin Drive,,New York,10040.0,,
54,,Columbia University Rare Book & Manuscript Library,,,,,,,"Books, drawings, illustrations, prints",Two galleries with free exhibitions from the collections
55,"(-73.97985598415269, 40.57526324252061)",Coney Island Museum,(718) 372-5159,http://www.coneyisland.com/,1208 Surf Ave,,Brooklyn,11224.0,Amusements,"History of coney island's amusement park, beach, and neighborhood"
56,,Conference House,,,,,,,,Only pre-revolutionary manor house still surviving in new york city
57,,Cooper Union Galleries,,,,,,,Contemporary art,"Several galleries with works by students, faculty and guest artists in art, architecture, design, photography"
58,"(-73.95778161975461, 40.78432573993682)","Cooper-Hewitt, National Design Museum",(212) 849-8400,http://www.cooperhewitt.org/,2 East 91st Street,,New York,10128.0,"Design, decorative arts, architecture","Part of the smithsonian, decorative arts and design"
59,,Czech Centre New York,,,,,,,Contemporary art,"Website, exhibits of czech artists, located in bohemian national hall"
60,"(-73.97304190142106, 40.76210697296256)",Dahesh Museum,(212) 759-0606,http://www.daheshmuseum.org,580 Madison Avenue,,New York,10022.0,,
61,,Dahesh Museum of Art,,,,,,,European,"Currently seeking new permanent home in manhattan, european academic art of the 19th and 20th century"
62,,Derfner Judaica Museum,,,,,,,European jewish and jewish-american,Includes the art collection at the hebrew home at riverdale
63,"(-74.00613537578622, 40.747894926234274)",Dia Art Foundation,(212) 989 5566,http://www.diacenter.org/,535 W 22nd Street,,New York,10011.0,Contemporary art,
64,"(-73.94649318169672, 40.83330210970132)",Dia at the Hispanic Society,(845) 440-0100,http://www.diabeacon.org/,613 West 155th Street,,New York,10032.0,,
65,"(-73.98731863959442, 40.757501085511855)",Discovery Times Square Exposition,(866) 987-9692,http://www.discoverytsx.com/nyc/,226 W 44th St,,New York,1036.0,,
66,"(-74.00290417204171, 40.72245118852784)",Drawing Center,(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,35 Wooster St.,,New York,10013.0,"Books, drawings, illustrations, prints",Contemporary and historical drawings
67,"(-73.92383914748758, 40.86713092093551)",Dyckman Farmhouse,(212) 304-9422,http://www.dyckmanfarmhouse.org/,4881 Broadway,,New York,10034.0,,Late 18th-century farmhouse; the oldest remaining farmhouse on manhattan island
68,"(-73.99272306225821, 40.72495970416682)",East Village History Project,(212) 614-8702,http://leshp.org/,308 Bowery,,New York,10012.0,,
69,,Edgar Allan Poe Cottage,,,,,,,,1840s house where author edgar allan poe lived
70,"(-73.95136760111666, 40.793098920789426)",El Museo del Barrio,(212) 831-7272,http://www.elmuseo.org/,1230 Fifth Ave,,New York,10029.0,"Hispanic, latino, and caribbean","Latin american and caribbean art, with an emphasis on works from puerto rico and the puerto rican community in new york city"
71,"(-74.04132161794243, 40.69820755330298)",Ellis Island Museum,(212) 363-3200,http://www.ellisisland.org/,Ellis Island,,New York,0.0,American and ny history,"Tours by boat from battery park in manhattan or liberty state park in jersey city, new jersey, immigration experience and history of the immigrants"
72,,Enrico Caruso Museum of America,,,,,,,Biographical,"Website, open on sundays, life of opera tenor enrico caruso"
73,,Eyebeam Art and Technology Center,,,,,,,Art and technology,"Art and technology exhibitions, resident artistries"
74,,FDNY Fire Zone,,,,,,,,"Website, fire safety learning center operated by the fdny, located in rockefeller center"
75,,Federal Hall National Memorial,,,,,,,American and ny history,Site of first capitol of the united states of america and of george washington's first inauguration in 1789
76,,Filipino American Museum,,,,,,,,
77,,Fisher Landau Center,,,,,,,Contemporary art,Contemporary art exhibitions
78,,"Fordham Museum of Greek, Etruscan and Roman Art",,,,,,,Antiquities,Collection of ancient antiquities in william d. walsh family library of fordham university
79,,Fort Totten,,,,,,,,Tours of the civil war-era fort
80,,Fort Wadsworth,,,,,,,,Exhibits and tours of the mid-19th-century fort
81,"(-74.01133926317924, 40.703399275987856)",Fraunces Tavern Museum,(212) 425-1778,http://www.frauncestavernmuseum.org/,54 Pearl Street,,New York,10004.0,American and ny history,Reconstruction of a tavern with a prominent role in pre-revolution and american revolution history
82,"(-73.96708040539806, 40.77105465350546)",Frick Collection,(212) 288-0700,http://www.frick.org/,1 E. 70th Street,,New York,10021.0,European,Mansion with collection of old master paintings and fine furniture
83,,Front Room Gallery,,,,,,,Contemporary art,Contemporary art gallery
84,,FusionArts Museum,,,,,,,Contemporary art,Contemporary art space
85,,Gallery Korea,,,,,,,Asian and asian-american,"Part of the korean cultural service, contemporary korean art"
86,"(-74.07387774290744, 40.6151652240151)",Garibaldi-Meucci Museum,(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,420 Tompkins Avenue,,Staten Island,10305.0,European,"Home of italian politician giuseppe garibaldi and inventor antonio meucci, celebrates italian american culture and heritage"
87,,General Grant National Memorial,,,,,,,American and ny history,"Mausoleum of general ulysses grant and his wife, displays about his life and presidency"
88,,George Gustav Heye Center,,,,,,,,"Part of the smithsonian, native american history, culture, and art"
89,,Girl Scout Museum,,,,,,,,History of the girl scouts of the usa
90,,Godwin-Ternbach Museum,,,,,,,Encyclopedic,"Part of queens college, city university of new york, collection includes painting, sculpture and decorative arts, prints and drawings, and ethnographic arts from all periods and cultures, western and non-western"
91,"(-73.96174204015233, 40.77916564085246)",Goethe-Institut New York,(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,1014 Fifth Avenue,,New York,10028.0,,
92,,Governors Island National Monument,,,,,,,,"Includes tours of castle williams, an 1807 fort and prison, and fort jay, a coastal star fort; open seasonally"
93,"(-73.9430684626868, 40.77611345003038)",Gracie Mansion,(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,89th Street at East End Avenue,Carl Schurz Park,New York,10128.0,,Official residence of the mayor of new york city
94,,Greater Astoria Historical Society,,,,,,,American and ny history,Local history
95,,Green-Wood Cemetery,,,,,,,American and ny history,"Exhibits of history related to people buried in the historic cemetery, themed tours"
96,,Grey Art Gallery,,,,,,,,"Part of new york university, emphasizes art's historical, cultural, and social context"
97,,Grolier Club,,,,,,,"Books, drawings, illustrations, prints",Public exhibitions from its book and literary collections
98,,Ground Zero Museum Workshop,,,,,,,American and ny history,"Website, history of the september 11 attacks and the workers at the world trade center site"
99,,Guggenheim Museum,,,,,,,Modern art,"Designed by frank lloyd wright, impressionist, post-impressionist, early modern, and contemporary art"
100,"(-73.91397962918033, 40.85874716978858)",Hall Of Fame For Great Americans,(718) 289-5161,http://www.bcc.cuny.edu/hallofFame/,Hall of Fame Terrace & Sedgwick Avenue,,Bronx,10453.0,American and ny history,"Part of bronx community college, national landmark founded as a pantheon honoring historically significant american men and women"
101,,Hamilton Grange National Memorial,,,,,,,,Relocated early 19th-century home of alexander hamilton
102,"(-74.03231077573365, 40.60900866850688)",Harbor Defense Museum of Fort Hamilton,(718) 630-4349,http://www.harbordefensemuseum.com/,230 Sheridan Loop,,Brooklyn,11252.0,,"Located in fort hamilton, 19th-century fort with exhibits of ny military history"
103,,Hebrew Union College-Jewish Institute of Religion Museum,,,,,,,European jewish and jewish-american,"Website, part of hebrew union college, art exploring jewish identity, history, culture, and experience"
104,,Hispanic Society of America,,,,,,,,
105,"(-73.94682282230515, 40.833452146758084)",Hispanic Society of America Museum,(212) 926-2234,http://www.hispanicsociety.org/,613 West 155th Street,,New York,10032.0,"Hispanic, latino and caribbean","Spanish, portuguese, and latin american art and artifacts"
106,,Historic Richmond Town,,,,,,,American and ny history,Over 30 historic buildings and sites dating from the late 17th to the early 20th century; includes the lake-tysen house and voorlezer's house
107,"(-73.89098784384107, 40.87835786499017)",Holocaust Museum & Studies Center,(718) 817-7700,http://www.holocauststudies.org/,75 W 205th St,,Bronx,10468.0,,
108,,Hostos Center for the Arts & Culture,,,,,,,Art center,The longwood art gallery at hostos presents a seasonal showcase of different latin american artists
109,"(-74.01808694309555, 40.67557193487433)",Hudson Waterfront Museum and Showboat Barge,(718) 624-4719,http://www.waterfrontmuseum.org/,290 Conover St.,,Brooklyn,11231.0,,
110,"(-73.983836726072, 40.756021151222605)",International Center of Photography,(212) 857-0000,http://www.icp.org/,1133 Avenue Of The Americas,,New York,10036.0,"Photography, film, new media",Photography exhibits - moving to lower manhattan in 2016
111,,International Print Center New York,,,,,,,"Books, drawings, illustrations, prints",Exhibition and understanding of fine art prints
112,"(-74.0008918064129, 40.764783273941696)",Intrepid Sea-Air-Space Museum,(212) 245-0072,http://www.intrepidmuseum.org/,Pier 86 12th Ave. & 46th Street,,New York,10036.0,,"Showcases the world war ii aircraft carrier uss intrepid, space shuttle enterprise, submarine uss growler, a concorde supersonic airplane, helicopters and military aircraft"
113,,"Intrepid Sea, Air & Space Museum",,,,,,,,
114,"(-73.93765514503832, 40.76695661305254)",Isamu Noguchi Garden Museum,(718) 204-7088,http://www.noguchi.org/,32-37 Vernon Boulevard,,Long Island City,11106.0,,
115,"(-73.99749410687575, 40.719194628210495)",Italian American Museum,(212) 965-9000,http://www.italianamericanmuseum.org/,155 Mulberry St.,,New York,10013.0,,
116,"(-74.00664185516354, 40.72335066225381)",Jackie Robinson Museum,(212) 290-8600,http://www.jackierobinson.org/,1 Hudson Square,75 Varick Street 2nd Floor,New York,10013.0,,
117,"(-74.13812336582549, 40.57631283530562)",Jacques Marchais Center Museum of Tibetan Art,(718) 987-3500,http://www.tibetanmuseum.org/,338 Lighthouse Avenue,,Staten Island,10306.0,Asian and asian-american,Art and artifacts of the himalayas
118,,Jamaica Center for Arts & Learning,,,,,,,Neighborhood art center,Cultural center with art gallery
119,,Japan Society,,,,,,,Asian and asian-american,Features exhibit gallery for japanese art
120,"(-73.94694494514727, 40.850220034849166)",Jeffrey's Hook lighthouse (Little Red Lighthouse),(212) 304-2365,http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_little_red_light.html,178th Street at the Hudson River,,New York,10033.0,,
121,,Jewish Children's Museum,,,,,,,European jewish and jewish-american,"Jewish heritage, fostering tolerance and understanding"
122,"(-73.95718705931057, 40.785402256425414)",Jewish Museum,(212) 423-3200,http://www.thejewishmuseum.org/index.php,1109 Fifth Ave,,New York,10128.0,European jewish and jewish-american,"Modern and contemporary jewish art, history"
123,,Jewish Theological Seminary Library Galleries,,,,,,,European jewish and jewish-american,"Website, free exhibitions from the library's collections of jewish heritage"
124,,John J. Harvey,,,,,,,Transportation,"Fireboat under restoration, offers occasional public tours and rides"
125,"(-74.00965483733572, 40.75233019732761)",John J. Harvey Fireboat,,http://www.fireboat.org/,Pier 66 at West 26th Street,,New York,10001.0,,
126,,King Manor,,,,,,,,
127,"(-73.80376062063522, 40.703042019259755)",King Manor Museum,(718) 206-0545,http://www.kingmanor.org/,152-01 Jamaica Avenue,,Queens,11432.0,,"Early 19th-century period home of rufus king, a signer of the united states constitution"
128,"(-73.82415641889934, 40.763595705057114)",Kingsland Homestead,(718) 206-0545,http://www.queenshistoricalsociety.org/kingsland.html,143-35 37th Avenue,,Queens,11354.0,,"Member of the historic house trust, operated by the queens historical society, victorian period house, local history exhibits"
129,,Korea Society,,,,,,,Asian and asian-american,Cultural society with gallery of korean art and culture
130,"(-73.93514567999574, 40.74396007246262)",LaGuardia and Wagner Archives,(718) 482-5065,http://www.laguardiawagnerarchive.lagcc.cuny.edu/defaultc.htm,31-10 Thomson Ave.,Fiorello H. LaGuardia Community College/CUNY Room E-238,Queens,11101.0,,
131,"(-73.98618833058292, 40.74719709497243)",Lee Young Hee Museum of Korean Culture,(212) 560-0722,http://www.lyhkm.org/,2 West 32nd Street,Suite 301,New York,10001.0,,
132,"(-73.96381416125242, 40.66437995594988)",Lefferts Historic House,(718) 789-2822,http://www.prospectpark.org/visit/places/lefferts,Prospect Park Willink Entrance,Flatbush and Ocean Avenues and Empire Boulevard,Brooklyn,11215.0,,"Located in prospect park, 1820s period house"
133,,Lehman College Art Gallery,,,,,,,Contemporary art,"Website, part of lehman college"
134,"(-73.99376449363902, 40.73802754297413)",Leo Baeck Institute,(212) 744-6400,http://www.lbi.org/,15 W. 16th St.,,New York,10011.0,,
135,,Leslie-Lohman Museum of Gay and Lesbian Art,,,,,,,,Contemporary and historical gay-related art
136,,Lewis H. Latimer House,,,,,,,African and african-american,Home of african american inventor lewis h. latimer
137,,Living Torah Museum,,,,,,,European jewish and jewish-american,"Ancient artifacts mentioned in the torah, items from the biblical period"
138,,Louis Armstrong House,,,,,,,Performing arts,Home of musician louis armstrong
139,,Lower East Side Tenement Museum,,,,,,,American and ny history,Immigrant experience
140,,Madame Tussauds,,,,,,,,
141,"(-73.98870226140056, 40.75631816305801)",Madame Tussauds Wax Museum,(800) 246-8872,http://www.madametussauds.com/NewYork/,234 W. 42nd Street,,New York,10036.0,Amusements,Famous figures in entertainment
142,,Maritime Industry Museum,,,,,,,Transportation,"Located in fort schuyler, history of the us maritime industry including commercial shipping, the merchant marine, and the port of new york"
143,"(-73.99234604790877, 40.72765741724545)",Merchant's House Museum,(212) 777-1089,http://www.merchantshouse.com/,29 East Fourth Street,,New York,10003.0,,19th-century family town home
144,,Met Breuer,,,,,,,Modern,"Modern and contemporary art, part of the metropolitan museum of art, opened in the building formerly occupied by the whitney museum of american art"
145,"(-73.96345111145274, 40.77942354199044)",Metropolitan Museum of Art (MET),(212) 535-7710,http://www.metmuseum.org/,1000 Fifth Avenue,,New York,10028.0,Encyclopedic,"One of the world's largest art museums, includes american art and decorative arts, european, african, asian, ancient egyptian, roman and greek art, byzantine and islamic art, modern art"
146,,Mets Hall of Fame & Museum,,,,,,,Amusements,"Located at citi field, new york mets baseball history"
147,"(-73.97988117952895, 40.75078436678353)",Mexican Cultural Institute of New York,(212) 217-6422,http://www.lavitrina.com/,27 E. 39th St.,,New York,10016.0,,
148,,Miriam and Ira D. Wallach Art Gallery,,,,,,,Contemporary art,"Website, part of columbia university"
149,,Mmuseumm,,,,,,,Contemporary archaeology,Contemporary vernacular design from around the world
150,,MoCADA: Museum of Contemporary African Diasporan Arts,,,,,,,African and african-american,Art focusing on social and political issues facing the african diaspora
151,,MoMA PS1,,,,,,,Contemporary art,"Contemporary art museum, part of museum of modern art"
152,"(-73.98132148561602, 40.74929507249673)",Morgan Library and Museum,(212) 685-0008,http://www.themorgan.org/home.asp,225 Madison Avenue,,New York,10016.0,,
153,"(-73.93857438792728, 40.834447679265466)",Morris-Jumel Mansion,(212) 923-8008,http://www.morrisjumel.org/,65 Jumel Terrace,,New York,10032.0,,18th-century period mansion used as headquarters for both sides in the american revolution
154,,Mossman Lock Museum,,,,,,,Financial,"Bank and vault locks and cases, part of the general society of mechanics and tradesmen of the city of new york"
155,,Mount Vernon Hotel Museum,,,,,,,,
156,"(-73.95971082928116, 40.76052578447419)",Mount Vernon Hotel Museum & Garden,(212) 838-6878,http://www.mvhm.org/,421 East 61 Street,,New York,10021.0,,Early 19th period-century hotel
157,"(-73.97499987035063, 40.75824830530754)",Municipal Art Society,(212) 935-3960,http://mas.org/,457 Madison Avenue,,New York,10022.0,,
158,,Museum at Eldridge Street,,,,,,,European jewish and jewish-american,American jewish history and culture in a restored historic synagogue
159,,Museum at FIT,,,,,,,"Design, decorative arts, architecture","Fashion museum, part of fashion institute of technology"
160,"(-73.92822391104288, 40.74634173827231)",Museum for African Art,(718) 784-7700,http://www.africanart.org/,36-01 43rd Avenue,3rd Floor,Queens,11101.0,,
161,"(-74.00912160394257, 40.706484588627994)",Museum of American Finance,(212) 908-4110,http://www.moaf.org/index,48 Wall Street,,New York,10005.0,Financial,"Financial markets, money, banking, entrepreneurship, and alexander hamilton"
162,"(-73.96690030997947, 40.76471562244387)",Museum of American Illustration,(212) 838-2560,http://societyillustrators.org/museum/index.cms,128 E. 63d St.,,New York,10021.0,"Books, drawings, illustrations, prints","Part of the society of illustrators, american illustration"
163,"(-73.98200725142944, 40.76740607395742)",Museum of Arts & Design (MAD),(212) 299-7777,http://www.madmuseum.org/,2 Columbus Circle,,New York,10019.0,"Design, decorative arts, architecture","Features contemporary hand-made objects in a variety of media, including clay, glass, metal, fiber, and wood, located at columbus circle"
164,"(-73.98272584235525, 40.77025240986238)",Museum of Biblical Art,(212) 408-1200,http://www.mobia.org/,1865 Broadway,,New York,10023.0,,
165,"(-73.99919191942232, 40.71945394633874)",Museum Of Chinese In America,(212) 619-4785,http://www.mocanyc.org/,215 Centre Street,,New York,10013.0,Asian and asian-american,History of north america's chinatowns and the cultural contributions of chinese immigrants
166,"(-73.99670247583494, 40.7247979456424)",Museum of Comic and Cartoon Art (MoCCA),(212) 254 3511,http://www.moccany.org/,594 Broadway,Suite 401,New York,10012.0,,
167,"(-73.97442477664784, 40.68524514383062)",Museum of Contemporary African Diasporan Arts (MoCADA),(718) 230-0492,http://www.mocada.org/,80 Hanson Place,,Brooklyn,11217.0,,
168,,Museum of Food and Drink,,,,,,,History and culture,"Exhibitions about the ways food and beverage impact our culture, politics, economy, history, and more."
169,"(-74.01858571588612, 40.705986647371226)",Museum of Jewish Heritage,(646) 437-4200,http://www.mjhnyc.org/index.htm,36 Battery Place,,New York,10280.0,European jewish and jewish-american,Modern jewish history and the holocaust
170,,Museum of Mathematics,,,,,,,,Interactive exhibits about mathematics
171,"(-73.97700363152086, 40.76118664102449)",Museum of Modern Art (MoMA),(212) 708-9400,http://www.moma.org/,11 West 53rd Street,,New York,10019.0,Modern art,"Modern art including architecture and design, drawings, painting, sculpture, photography, prints, illustrated books and artist's books, film, and electronic media"
172,,Museum of Public Relations,,,,,,,History of public relations,"Website, a public relations museum and reference library, part of baruch college’s newman library archives and special collections, open to the public by appointment for tours, guest lectures and research"
173,,Museum of Reclaimed Urban Space,,,,,,,,History of grassroots urban space activism
174,,Museum of Sex,,,,,,,,"History, evolution, and cultural significance of human sexuality"
175,"(-73.95191697462884, 40.792509034510005)",Museum of the City of New York,(212) 534-1672,http://www.mcny.org,1220 Fifth Avenue,,New York,10029.0,,Art and local history
176,"(-73.92451017252192, 40.75694448741239)",Museum of the Moving Image,(718) 784-4520,http://www.movingimage.us/site/site.php,35 Avenue at 36 Street,,Queens,11106.0,"Film, video, digital media","Exhibitions and programs dedicated to the art, history, technique, and technology of film, television, digital media, video games, the internet, and more."
177,"(-73.95849177369215, 40.78361316720407)",National Academy Museum,(212) 369-4880,https://nationalacademy.org/index.asp,1083 5th Avenue,,New York,10128.0,"Design, decorative arts, architecture",Exhibits of art and architecture from its collections
178,,National Jazz Museum in Harlem,,,,,,,Performing arts,Harlem's jazz history
179,"(-74.07373713057605, 40.64094901557986)",National Lighthouse Museum,(718) 556-1681,http://statenislandusa.com/pages/lighthouse.html,1 Lighthouse Plaza,,Staten Island,10301.0,,
180,"(-74.01372704598201, 40.704321256986034)",National Museum of the American Indian,(212) 514-3700,http://www.nmai.si.edu/,1 Bowling Green,,New York,10004.0,,
181,,National September 11 Memorial & Museum,,,,,,,,
182,"(-74.01091566131102, 40.70965448747792)",National September 11 Memorial & Museum at the World Trade Center,(212) 227-7722,http://www.911memorial.org/,1 Liberty Plaza,20th Floor,New York,10006.0,American and ny history,Memorial and museum dedicated to victims of 9/11 attacks
183,,National Track and Field Hall of Fame,,,,,,,Amusements,Operated by the armory foundation in conjunction with usa track & field
184,"(-73.96024812606315, 40.78124233583781)",Neue Galerie New York,(212) 628-6200,http://www.neuegalerie.org/,1048 Fifth Avenue,,New York,10028.0,Modern art,Gallery of early-20th-century german and austrian art and design
185,,New Africa Center,,,,,,,African and african-american,"African art and culture, not open yet, building new facility on museum mile, formerly known as museum for african art"
186,"(-73.99283879250072, 40.722346701845474)",New Museum of Contemporary Art,(212) 219-1222,http://www.newmuseum.org/,235 Bowery,,New York,10002.0,Contemporary art,Contemporary art from around the world
187,,New York Botanical Garden,,,,,,,Nature,Includes mertz library with exhibitions relating to botanical themes and the enid a. haupt conservatory
188,"(-74.00693426094169, 40.72557180583998)",New York City Fire Museum,(212) 691-1303,http://www.nycfiremuseum.org/,278 Spring Street,,New York,10012.0,,"Historical and modern firefighting vehicles, equipment, uniforms"
189,"(-74.00811754401903, 40.70347829082743)",New York City Police Museum,(212) 480-3100,http://www.nycpolicemuseum.org/,100 Old Slip,,New York,10038.0,,
