name,focus,summary
Bronx Museum of the Arts,Encyclopedic,Focuses on contemporary and 20th-century art
Bronx River Art Center,Neighborhood art center,Website
Brooklyn Botanic Garden,Nature,Includes a bonsai museum and art gallery in the conservatory
Brooklyn Children's Museum,,
Brooklyn Historical Society,American and ny history,History and culture of brooklyn
Brooklyn Museum,Encyclopedic,"Collections include american art, egyptian, classical, and ancient near eastern art, feminist, european, and art of the pacific islands"
Castle Clinton National Monument,American and ny history,"Fort that contains a museum that is administered by the national park service, and is a departure point for visitors to the statue of liberty and ellis island"
Center for Architecture,"Design, decorative arts, architecture","Exhibits of architecture, urban planning, urban design, and environmental planning"
Center for Art and Culture of Bedford-Stuyvesant,Neighborhood art center,"Website, cultural and performing arts center with the skylight gallery for visual art"
Center for Jewish History,European jewish and jewish-american,Jewish history and culture around the world
Chaim Gross Studio Museum,Sculpture,"Operated by the renee and chaim gross foundation, home and studio of sculptor chaim gross"
Children's Cultural Center of Native America,,"Website, located in the church of the intercession"
Children's Museum of Manhattan,,
Children's Museum of the Arts,,"International children's art, programs in creating drawings, sculpture, sound art, textiles, and stop-motion animation"
China Institute,Asian and asian-american,"Galleries with exhibits about traditional chinese paintings, calligraphy, chinese folk arts, textiles, and architecture"
Choco-Story New York,Chocolate,"History of chocolate making and consumption, demonstrations, classes. affiliated with jacques torres chocolate"
City Island Nautical Museum,American and ny history,"Operated by the city island historical society, local history, maritime heritage"
City Reliquary,Local history,Memorabilia and artifacts about new york city
Clemente Soto Velez Cultural and Educational Center,"Hispanic, latino and caribbean",Cultivates latino culture and acts as a hub for visual and performing arts on the lower east side
The Cloisters,European,"Art and architecture of the european middle ages, branch of the metropolitan museum of art"
Columbia University Rare Book & Manuscript Library,"Books, drawings, illustrations, prints",Two galleries with free exhibitions from the collections
Coney Island Museum,Amusements,"History of coney island's amusement park, beach, and neighborhood"
Conference House,,Only pre-revolutionary manor house still surviving in new york city
"Cooper Hewitt, Smithsonian Design Museum","Design, decorative arts, architecture","Part of the smithsonian, decorative arts and design"
Cooper Union Galleries,Contemporary art,"Several galleries with works by students, faculty and guest artists in art, architecture, design, photography"
Czech Centre New York,Contemporary art,"Website, exhibits of czech artists, located in bohemian national hall"
Dahesh Museum of Art,European,"Currently seeking new permanent home in manhattan, european academic art of the 19th and 20th century"
Derfner Judaica Museum,European jewish and jewish-american,Includes the art collection at the hebrew home at riverdale
Dia:Chelsea,Contemporary art,
Drawing Center,"Books, drawings, illustrations, prints",Contemporary and historical drawings
Dyckman Farmhouse Museum,,Late 18th-century farmhouse; the oldest remaining farmhouse on manhattan island
Edgar Allan Poe Cottage,,1840s house where author edgar allan poe lived
El Museo del Barrio,"Hispanic, latino, and caribbean","Latin american and caribbean art, with an emphasis on works from puerto rico and the puerto rican community in new york city"
Ellis Island Museum,American and ny history,"Tours by boat from battery park in manhattan or liberty state park in jersey city, new jersey, immigration experience and history of the immigrants"
Enrico Caruso Museum of America,Biographical,"Website, open on sundays, life of opera tenor enrico caruso"
Eyebeam Art and Technology Center,Art and technology,"Art and technology exhibitions, resident artistries"
Federal Hall National Memorial,American and ny history,Site of first capitol of the united states of america and of george washington's first inauguration in 1789
FDNY Fire Zone,,"Website, fire safety learning center operated by the fdny, located in rockefeller center"
Filipino American Museum,,
Fisher Landau Center,Contemporary art,Contemporary art exhibitions
"Fordham Museum of Greek, Etruscan and Roman Art",Antiquities,Collection of ancient antiquities in william d. walsh family library of fordham university
Fort Totten,,Tours of the civil war-era fort
Fort Wadsworth,,Exhibits and tours of the mid-19th-century fort
Fraunces Tavern,American and ny history,Reconstruction of a tavern with a prominent role in pre-revolution and american revolution history
Frick Collection,European,Mansion with collection of old master paintings and fine furniture
Front Room Gallery,Contemporary art,Contemporary art gallery
FusionArts Museum,Contemporary art,Contemporary art space
Gallery Korea,Asian and asian-american,"Part of the korean cultural service, contemporary korean art"
Garibaldi-Meucci Museum,European,"Home of italian politician giuseppe garibaldi and inventor antonio meucci, celebrates italian american culture and heritage"
George Gustav Heye Center,,"Part of the smithsonian, native american history, culture, and art"
General Grant National Memorial,American and ny history,"Mausoleum of general ulysses grant and his wife, displays about his life and presidency"
Girl Scout Museum,,History of the girl scouts of the usa
Godwin-Ternbach Museum,Encyclopedic,"Part of queens college, city university of new york, collection includes painting, sculpture and decorative arts, prints and drawings, and ethnographic arts from all periods and cultures, western and non-western"
Governors Island National Monument,,"Includes tours of castle williams, an 1807 fort and prison, and fort jay, a coastal star fort; open seasonally"
Gracie Mansion,,Official residence of the mayor of new york city
Greater Astoria Historical Society,American and ny history,Local history
Green-Wood Cemetery,American and ny history,"Exhibits of history related to people buried in the historic cemetery, themed tours"
Grey Art Gallery,,"Part of new york university, emphasizes art's historical, cultural, and social context"
Grolier Club,"Books, drawings, illustrations, prints",Public exhibitions from its book and literary collections
Ground Zero Museum Workshop,American and ny history,"Website, history of the september 11 attacks and the workers at the world trade center site"
Guggenheim Museum,Modern art,"Designed by frank lloyd wright, impressionist, post-impressionist, early modern, and contemporary art"
Hall of Fame for Great Americans,American and ny history,"Part of bronx community college, national landmark founded as a pantheon honoring historically significant american men and women"
Hamilton Grange National Memorial,,Relocated early 19th-century home of alexander hamilton
Harbor Defense Museum,,"Located in fort hamilton, 19th-century fort with exhibits of ny military history"
Hebrew Union College-Jewish Institute of Religion Museum,European jewish and jewish-american,"Website, part of hebrew union college, art exploring jewish identity, history, culture, and experience"
Hispanic Society of America,"Hispanic, latino and caribbean","Spanish, portuguese, and latin american art and artifacts"
Historic Richmond Town,American and ny history,Over 30 historic buildings and sites dating from the late 17th to the early 20th century; includes the lake-tysen house and voorlezer's house
Hostos Center for the Arts & Culture,Art center,The longwood art gallery at hostos presents a seasonal showcase of different latin american artists
International Center of Photography,"Photography, film, new media",Photography exhibits - moving to lower manhattan in 2016
International Print Center New York,"Books, drawings, illustrations, prints",Exhibition and understanding of fine art prints
"Intrepid Sea, Air & Space Museum",,"Showcases the world war ii aircraft carrier uss intrepid, space shuttle enterprise, submarine uss growler, a concorde supersonic airplane, helicopters and military aircraft"
Jacques Marchais Museum of Tibetan Art,Asian and asian-american,Art and artifacts of the himalayas
Jamaica Center for Arts & Learning,Neighborhood art center,Cultural center with art gallery
Japan Society,Asian and asian-american,Features exhibit gallery for japanese art
Jewish Children's Museum,European jewish and jewish-american,"Jewish heritage, fostering tolerance and understanding"
Jewish Museum,European jewish and jewish-american,"Modern and contemporary jewish art, history"
Jewish Theological Seminary Library Galleries,European jewish and jewish-american,"Website, free exhibitions from the library's collections of jewish heritage"
John J. Harvey,Transportation,"Fireboat under restoration, offers occasional public tours and rides"
King Manor,,"Early 19th-century period home of rufus king, a signer of the united states constitution"
Kingsland Homestead,,"Member of the historic house trust, operated by the queens historical society, victorian period house, local history exhibits"
Korea Society,Asian and asian-american,Cultural society with gallery of korean art and culture
Lefferts Historic House,,"Located in prospect park, 1820s period house"
Lehman College Art Gallery,Contemporary art,"Website, part of lehman college"
Leslie-Lohman Museum of Gay and Lesbian Art,,Contemporary and historical gay-related art
Lewis H. Latimer House,African and african-american,Home of african american inventor lewis h. latimer
The Living Museum,Contemporary art,"Part of creedmoor psychiatric center,  art dedicated to, and created by individuals with a mental illness"
Living Torah Museum,European jewish and jewish-american,"Ancient artifacts mentioned in the torah, items from the biblical period"
Louis Armstrong House,Performing arts,Home of musician louis armstrong
Lower East Side Tenement Museum,American and ny history,Immigrant experience
Madame Tussauds,Amusements,Famous figures in entertainment
Maritime Industry Museum,Transportation,"Located in fort schuyler, history of the us maritime industry including commercial shipping, the merchant marine, and the port of new york"
Merchant's House Museum,,19th-century family town home
Met Breuer,Modern,"Modern and contemporary art, part of the metropolitan museum of art, opened in the building formerly occupied by the whitney museum of american art"
Metropolitan Museum of Art,Encyclopedic,"One of the world's largest art museums, includes american art and decorative arts, european, african, asian, ancient egyptian, roman and greek art, byzantine and islamic art, modern art"
Mets Hall of Fame & Museum,Amusements,"Located at citi field, new york mets baseball history"
Miriam and Ira D. Wallach Art Gallery,Contemporary art,"Website, part of columbia university"
Mmuseumm,Contemporary archaeology,Contemporary vernacular design from around the world
MoCADA: Museum of Contemporary African Diasporan Arts,African and african-american,Art focusing on social and political issues facing the african diaspora
MoMA PS1,Contemporary art,"Contemporary art museum, part of museum of modern art"
The Morgan Library & Museum,"Books, drawings, illustrations, prints","Includes books and printed materials, prints, and drawings of european artists, material from ancient egypt and medieval liturgical objects, ancient near eastern cylinder seals, music manuscripts"
Morris-Jumel Mansion,,18th-century period mansion used as headquarters for both sides in the american revolution
Mossman Lock Museum,Financial,"Bank and vault locks and cases, part of the general society of mechanics and tradesmen of the city of new york"
Mount Vernon Hotel Museum,,Early 19th period-century hotel
Museum at Eldridge Street,European jewish and jewish-american,American jewish history and culture in a restored historic synagogue
Museum at FIT,"Design, decorative arts, architecture","Fashion museum, part of fashion institute of technology"
Museum of American Finance,Financial,"Financial markets, money, banking, entrepreneurship, and alexander hamilton"
Museum of American Illustration,"Books, drawings, illustrations, prints","Part of the society of illustrators, american illustration"
Museum of Arts and Design,"Design, decorative arts, architecture","Features contemporary hand-made objects in a variety of media, including clay, glass, metal, fiber, and wood, located at columbus circle"
Museum of Chinese in America,Asian and asian-american,History of north america's chinatowns and the cultural contributions of chinese immigrants
Museum of Food and Drink,History and culture,"Exhibitions about the ways food and beverage impact our culture, politics, economy, history, and more."
Museum of Jewish Heritage,European jewish and jewish-american,Modern jewish history and the holocaust
Museum of Mathematics,,Interactive exhibits about mathematics
Museum of Modern Art (MoMA),Modern art,"Modern art including architecture and design, drawings, painting, sculpture, photography, prints, illustrated books and artist's books, film, and electronic media"
Museum of Public Relations,History of public relations,"Website, a public relations museum and reference library, part of baruch college’s newman library archives and special collections, open to the public by appointment for tours, guest lectures and research"
Museum of Reclaimed Urban Space,,History of grassroots urban space activism
Museum of Sex,,"History, evolution, and cultural significance of human sexuality"
Museum of the City of New York,,Art and local history
Museum of the Moving Image,"Film, video, digital media","Exhibitions and programs dedicated to the art, history, technique, and technology of film, television, digital media, video games, the internet, and more."
National Academy Museum and School,"Design, decorative arts, architecture",Exhibits of art and architecture from its collections
National September 11 Memorial & Museum,American and ny history,Memorial and museum dedicated to victims of 9/11 attacks
National Jazz Museum in Harlem,Performing arts,Harlem's jazz history
National Track and Field Hall of Fame,Amusements,Operated by the armory foundation in conjunction with usa track & field
New Africa Center,African and african-american,"African art and culture, not open yet, building new facility on museum mile, formerly known as museum for african art"
Neue Galerie,Modern art,Gallery of early-20th-century german and austrian art and design
Newhouse Center for Contemporary Art,Contemporary art,"Part of snug harbor cultural center, contemporary art"
New Museum,Contemporary art,Contemporary art from around the world
New York Botanical Garden,Nature,Includes mertz library with exhibitions relating to botanical themes and the enid a. haupt conservatory
New York Earth Room,Contemporary art,Permanent exhibit of earth covered room
New York Hall of Science,,"Topics include biology, chemistry and physics"
New-York Historical Society,American and ny history,History of new york and the united states
New York City Fire Museum,,"Historical and modern firefighting vehicles, equipment, uniforms"
New York City Police Museum,,
New York Public Library Main Branch,"Books, drawings, illustrations, prints","Exhibitions about art, history, culture, photography from its collections"
New York Public Library for the Performing Arts,Performing arts,"Exhibitions about the performing arts, located at lincoln center for the performing arts"
New York School of Interior Design Gallery,"Design, decorative arts, architecture","Website, free gallery with exhibits about interior design"
New York Transit Museum,Transportation,"Subways, trolleys, and buses"
New York Transit Museum,Transportation,"Subway and train system of ny, located in grand central terminal"
New York Yankees Museum,Amusements,"Located in yankee stadium, history and memorabilia of the new york yankees"
Nicholas Roerich Museum,Asian and asian-american,Works by nicholas roerich
Noble Maritime Collection,Transportation,"Part of snug harbor cultural center, houseboat and artist studio"
Noguchi Museum,Sculpture,Works by sculptor isamu noguchi
Old Stone House,,"Reconstructed 1699 dutch stone farmhouse with revolutionary war ties, focuses on evolving histories of brooklyn, new york and the united states"
Onassis Cultural Center,European,"Website, cultural and artistic activities concerning ancient, byzantine and modern hellenic civilization, located in the olympic tower"
Paley Center for Media,"Television, radio, new media","Cultural, creative and social significance of television, radio, the internet, and emerging media platforms"
Park Avenue Armory,Contemporary art,Presents art exhibitions
Parsons The New School for Design Gallery,"Design, decorative arts, architecture",Exhibits of art and design in the sheila c. johnson design center
Peter Fingesten Gallery,Contemporary art,"Website, operated by pace university at 1 pace plaza"
Queens College Art Center,Neighborhood art center,"Website, part of queens college"
Queens County Farm Museum,,Working farm dating back to 1697
Queens Museum,Contemporary art,"Focus on social practice, artist in residence programs, and education. includes a collection of tiffany glass and the panorama of the city of new york."
Ripley's Believe It or Not!,Amusements,Oddities and curiosities
Rosè Mansion,Art,The history of rosè wine making and culture
Rose Museum,Performing arts,Chronicles the history carnegie hall from the collections of its archives
Rubin Museum of Art,Asian and asian-american,Art of the himalayas and surrounding regions
Sandy Ground Historical Museum,African and african-american,"Operated by the sandy ground historical society, community and staten island's african-american culture and history"
Scandinavia House – The Nordic Center in America,European,"Art, design, and historical exhibitions of the nordic countries"
Schomburg Center for Research in Black Culture,African and african-american,"Branch of the new york public library, exhibits of african american history, culture"
SculptureCenter,Sculpture,Dedicated to experimental and innovative developments in contemporary sculpture
Seguine Mansion,,Mid-19th-century mansion
Skyscraper Museum,"Design, decorative arts, architecture",Currently the only museum in the world dedicated to skyscrapers
Socrates Sculpture Park,Sculpture,Outdoor museum and public park where artists can create and exhibit sculptures and multi-media installations
South Street Seaport Museum,Transportation,"Includes exhibition galleries, a working 19th-century print shop, an archeology museum and several historic museum ships including the four-masted peking"
Staten Island Children's Museum,,Part of snug harbor cultural center
Staten Island Museum,Encyclopedic,"Natural history, art, history, science, part of snug harbor cultural center"
Statue of Liberty,American and ny history,"Accessible by boat from battery park in manhattan and liberty state park in jersey city, new jersey"
Studio Museum in Harlem,African and african-american,"Art of african-americans, specializing in 19th- and 20th-century work as well as exhibits of caribbean and african art"
Swiss Institute Contemporary Art New York,Contemporary art,Contemporary art
Terrain Gallery,Contemporary art,"Exhibits of contemporary paintings, prints, drawings, and photographs"
The Shed,Contemporary art,"Hosts activities in a wide range of cultural areas including art, performance, film, design, food, fashion, and new combinations of cultural content"
Theodore Roosevelt Birthplace National Historic Site,,Recreated 1865 period brownstone home where theodore roosevelt lived as a child
Tibet House,Asian and asian-american,Classical and contemporary tibetan art
Toy Museum of NY,Amusements,"Traveling collection with no permanent facility, includes children's theatre performance, classic dolls, toy soldiers, trains and trolleys, board games, electronic toys"
Trinity Church,,"History of the church, changing art, religious and cultural exhibits"
Ukrainian Institute of America,European,Features exhibits of notable ukrainian artists living in the states and other events related to ukrainian heritage
Ukrainian Museum,European,Ukrainian heritage in america including folk art and fine art
United Nations Headquarters,,"Includes exhibits on such topics as peacekeeping operations, decolonization and disarmament, and the united nations art collection"
Valentine-Varian House,,"Houses the museum of bronx history, operated by the bronx county historical society"
Van Cortlandt House Museum,,18th-century period manor house
Vander Ende-Onderdonk House,,"Oldest dutch colonial stone house in new york city, operated by the greater ridgewood historical society"
Voelker Orth Museum,Nature,"German immigrant family’s 1890s home and garden, exhibits of cultural and horticultural heritage of flushing, queens and adjacent communities"
Waterfront Museum,Transportation,"Website, historic floating barge museum in red hook"
Wave Hill,Nature,Botanical garden with art gallery and interpretive visitor's center
Weeksville Heritage Center,African and african-american,"History of the 19th-century african american community of weeksville, brooklyn - one of america’s first free black communities"
White Columns,Contemporary art,Alternative art gallery
Whitney Museum of American Art,Modern art,20th-century american art and contemporary american art by living artists
Williamsburg Art & Historical Center,Neighborhood art center,"Art exhibitions, performances and cultural events"
Wyckoff House,,Dutch saltbox frame house dating back to 1652
Yeshiva University Museum,European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
Yeshiva University Museum,European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
"History
timeline
Neighborhoods
ethnic enclaves
Architecture
Art Deco
monuments
skyscrapers
People
Media
Economy
companies
Geography
Flags
Environment
food and water
Demographics
history",European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
"The Bronx (Bronx County)
Brooklyn (Kings County)
Manhattan (New York County)
Queens (Queens County)
Staten Island (Richmond County)",European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
"Mayor
Elections
Council
Borough presidents
Community Districts
Politics
City agencies",European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
"Hospitals
Fire
Police
crime
law enforcement
Emergency Management",European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
"History
Entities
DOT
former BOT
Vision Zero Initiative
Metropolitan Transportation Authority
Subway
Bus
Staten Island Railway
Long Island Rail Road
Metro-North Railroad
PATH
Bridges and tunnels
Streets",European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
"Arts
Books
Cuisine
Dialect
Libraries
Brooklyn
New York (Manhattan, the Bronx, Staten Island)
Queens
Museums
Music
Nicknames
""Sixth borough""
Sports
Tourism
gardens
landmarks
parks",European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
"Dept. of Education
Elementary schools
High schools
Colleges",European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
" Category
 Portal",European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
" Category
 Portal",European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
"Times Square (50 M)
Central Park (40 M)
Grand Central Terminal (21.6 M)
Broadway (13.2 M)
South Street Seaport (12 M)
Rockefeller Center",European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
"High Line (7.6 M)
Metropolitan Museum of Art (6.3 M)
American Museum of Natural History (5.0 M)
National September 11 Memorial & Museum (5.0 M)
Empire State Building (3.5 M)
Museum of Modern Art (2.8 M)
Statue of Liberty (2.4 M)
One World Trade Center (2.3 M)
Bronx Zoo (1.8 M)
Ellis Island (1.7 M)",European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
Note: Visitor numbers are estimates only.See also: Tourism in New York City,European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
Note: Visitor numbers are estimates only.See also: Tourism in New York City,European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
"Alabama
Alaska
Arizona
Arkansas
California
Colorado
Connecticut
Delaware
District of Columbia
Florida
Georgia
Hawaii
Idaho
Illinois
Indiana
Iowa
Kansas
Kentucky
Louisiana
Maine
Maryland
Massachusetts
Michigan
Minnesota
Mississippi
Missouri
Montana
Nebraska
Nevada
New Hampshire
New Jersey
New Mexico
New York
NYC
North Carolina
North Dakota
Ohio
Oklahoma
Oregon
Pennsylvania
Rhode Island
South Carolina
South Dakota
Tennessee
Texas
Utah
Vermont
Virginia
Washington
West Virginia
Wisconsin
Wyoming
U.S. territories
Puerto Rico",European jewish and jewish-american,"Also an archaeology, history, and art museum focused on jewish subjects"
